# Сеансы, снятые вручную со страниц сети. Формат:
# кинотеатр;адрес;фильм;дата;время;цена;зал
# Этот файл — источник наравне с парсерами: то, что робот не смог достать,
# можно дописать руками, и оно попадёт на карту.
Киномакс-Мозаика;ул. 7-я Кожуховская, д. 9, ТЦ «Мозаика», Москва;Одиссея;2026-08-08;20:40;1460;Гранд ВИП
Киномакс-Мозаика;ул. 7-я Кожуховская, д. 9, ТЦ «Мозаика», Москва;Одиссея;2026-08-08;21:40;850;2D
Киномакс-Мозаика;ул. 7-я Кожуховская, д. 9, ТЦ «Мозаика», Москва;Одиссея;2026-08-08;22:40;850;2D
Киномакс-Мозаика;ул. 7-я Кожуховская, д. 9, ТЦ «Мозаика», Москва;Одиссея;2026-08-08;23:50;1700;На крыше 18+
Киномакс-Титан;Каширское шоссе, д. 61Г, ТРЦ «Каширская Плаза», Москва;Одиссея;2026-08-08;10:10;760;Комфорт
Киномакс-Титан;Каширское шоссе, д. 61Г, ТРЦ «Каширская Плаза», Москва;Одиссея;2026-08-08;11:10;1520;ВИП
Киномакс-Титан;Каширское шоссе, д. 61Г, ТРЦ «Каширская Плаза», Москва;Одиссея;2026-08-08;12:10;910;Большой экран
Киномакс-Титан;Каширское шоссе, д. 61Г, ТРЦ «Каширская Плаза», Москва;Одиссея;2026-08-08;13:40;930;Комфорт
Киномакс-Титан;Каширское шоссе, д. 61Г, ТРЦ «Каширская Плаза», Москва;Одиссея;2026-08-08;14:40;1520;ВИП
Киномакс-Титан;Каширское шоссе, д. 61Г, ТРЦ «Каширская Плаза», Москва;Одиссея;2026-08-08;15:40;960;Большой экран
Киномакс-Титан;Каширское шоссе, д. 61Г, ТРЦ «Каширская Плаза», Москва;Одиссея;2026-08-08;17:10;980;Комфорт
Киномакс-Титан;Каширское шоссе, д. 61Г, ТРЦ «Каширская Плаза», Москва;Одиссея;2026-08-08;18:10;1620;ВИП
Киномакс-Титан;Каширское шоссе, д. 61Г, ТРЦ «Каширская Плаза», Москва;Одиссея;2026-08-08;19:10;960;Большой экран
Киномакс-Титан;Каширское шоссе, д. 61Г, ТРЦ «Каширская Плаза», Москва;Одиссея;2026-08-08;20:20;1800;На крыше 18+
Киномакс-Титан;Каширское шоссе, д. 61Г, ТРЦ «Каширская Плаза», Москва;Одиссея;2026-08-08;20:40;980;Комфорт
Киномакс-Титан;Каширское шоссе, д. 61Г, ТРЦ «Каширская Плаза», Москва;Одиссея;2026-08-08;21:40;1620;ВИП
Киномакс-Титан;Каширское шоссе, д. 61Г, ТРЦ «Каширская Плаза», Москва;Одиссея;2026-08-08;22:40;880;Большой экран
Киномакс-Титан;Каширское шоссе, д. 61Г, ТРЦ «Каширская Плаза», Москва;Одиссея;2026-08-08;23:50;1500;На крыше 18+
Киномакс-Жулебино;ул. Генерала Кузнецова, д. 22, ТРЦ «Миля», Москва;Одиссея;2026-08-08;10:20;650;2D
Киномакс-Жулебино;ул. Генерала Кузнецова, д. 22, ТРЦ «Миля», Москва;Одиссея;2026-08-08;11:10;1640;ВИП
